NAME,TEAM,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IB,HBP,SO,SF,SH,GDP,SB,CS,AVG
김태진,Tigers,99,414,381,105,87,12,5,1,43,36,23,1,0,64,4,10,7,8,5,0.276
김석환,Tigers,5,20,19,5,4,0,0,1,1,3,0,0,1,7,0,0,0,0,0,0.263
안상현,Landers,37,40,39,10,7,2,0,1,9,4,1,0,0,15,0,0,0,3,1,0.256
김재현,Heroes,39,51,46,10,3,7,0,0,2,8,3,0,0,12,0,2,1,0,1,0.217
박경수,Wiz,118,280,239,46,27,10,0,9,24,33,34,2,3,76,0,4,7,0,1,0.192
김상수,Lions,132,496,429,101,80,17,1,3,46,42,52,0,3,51,4,12,14,4,2,0.235
김민하,Eagles,46,142,115,24,18,4,1,1,14,17,17,0,8,36,2,2,3,6,3,0.209
강경학,Tigers,13,13,11,2,2,0,0,0,2,1,1,0,1,3,0,0,0,0,0,0.182
김준완,Dinos,13,14,12,2,1,0,1,0,3,1,2,0,0,0,0,0,0,0,0,0.167
권민석,Bears,33,15,14,3,1,2,0,0,8,1,1,0,0,7,0,0,0,0,0,0.214
배성근,Giants,78,109,93,19,14,4,0,1,21,9,14,0,0,36,0,2,1,1,0,0.204
장규현,Eagles,7,12,12,3,2,1,0,0,0,1,0,0,0,4,0,0,1,0,0,0.250
송준석,Lions,19,55,51,12,8,2,0,2,5,4,3,0,1,13,0,0,1,0,0,0.235
이재율,Dinos,23,17,15,3,1,2,0,0,5,1,0,0,2,3,0,0,1,1,1,0.200
오정환,Tigers,9,18,17,4,3,1,0,0,1,2,1,0,0,9,0,0,0,0,0,0.235
크레익,Heroes,61,247,222,55,37,12,0,6,25,30,20,1,4,43,1,1,4,0,1,0.248
김병휘,Heroes,13,11,10,2,2,0,0,0,5,0,1,0,0,2,0,0,0,0,0,0.200
최보성,Dinos,10,14,12,3,3,0,0,0,0,1,0,0,1,5,0,1,0,0,1,0.250
이호연,Giants,7,11,9,2,2,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0.222
이주형,Heroes,5,11,10,1,0,0,0,1,1,3,1,0,0,7,0,0,0,0,0,0.100
이영빈,Twins,71,168,148,36,25,9,0,2,21,16,14,0,3,51,2,3,1,6,3,0.243
문찬종,Heroes,13,17,14,2,2,0,0,0,0,1,3,0,0,4,0,0,1,0,0,0.143
김주현,Giants,8,17,16,4,4,0,0,0,1,0,1,0,0,6,0,0,0,0,0,0.250
오준혁,Landers,26,50,46,10,6,2,0,2,7,5,4,0,0,15,0,0,2,0,0,0.217
박승규,Lions,59,78,66,12,8,1,0,3,13,5,9,0,2,9,0,1,4,1,1,0.182
손호영,Twins,8,12,10,1,1,0,0,0,2,0,1,0,1,2,0,0,0,0,0,0.100
김건형,Wiz,11,39,33,7,6,1,0,0,4,0,6,1,0,6,0,0,0,1,0,0.212
박정우,Tigers,32,61,48,9,8,1,0,0,3,4,10,0,2,8,0,1,2,0,2,0.188
강민국,Wiz,18,50,45,11,9,2,0,0,2,4,3,0,0,6,0,1,1,0,0,0.244
김수환,Heroes,13,44,41,9,5,2,0,2,5,5,2,0,0,17,1,1,2,0,0,0.220
안익훈,Twins,47,16,14,2,1,1,0,0,4,1,0,0,2,2,0,0,1,0,0,0.143
권혁경,Tigers,5,18,18,4,4,0,0,0,1,0,0,0,0,6,0,0,2,0,0,0.222
황윤호,Tigers,6,19,17,3,3,0,0,0,2,0,1,0,1,3,0,0,1,0,0,0.176
안권수,Bears,87,47,42,10,9,0,1,0,17,4,3,0,0,3,0,2,0,3,0,0.238
지석훈,Dinos,28,43,34,5,4,1,0,0,6,2,7,0,1,12,1,1,0,0,0,0.147
강경학,Eagles,12,26,22,3,3,0,0,0,1,0,4,0,0,10,0,0,0,1,0,0.136
이학주,Lions,66,174,155,32,20,8,0,4,17,20,14,0,1,61,0,4,3,1,2,0.206
최정용,Tigers,53,65,52,10,9,1,0,0,7,2,9,0,0,16,1,4,1,2,0,0.192
오선진,Lions,23,46,42,9,9,0,0,0,5,2,3,0,1,8,0,0,2,0,0,0.214
민병헌,Giants,14,49,42,8,5,3,0,0,5,2,6,0,0,11,0,1,2,0,1,0.190
박세혁,Bears,96,270,237,52,40,12,0,0,25,30,22,0,5,43,3,6,6,4,2,0.219
조한민,Eagles,52,145,127,25,12,6,2,5,15,18,13,0,2,57,2,3,4,3,2,0.197
허관회,Eagles,28,79,63,12,12,0,0,0,4,2,13,0,1,22,2,2,1,0,0,0.190
신준우,Heroes,56,51,42,7,4,3,0,0,7,4,4,0,3,21,1,2,1,0,1,0.167
